Province,PreSchool,PreSchool_Total,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Primary_Total,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Grade_13,Grade_14,Secondary_Total,Total
Torba,654,654,349,332,362,336,363,309,2051,212,162,129,92,24,20,5,0,644,3349
F,317,317,179,147,182,168,192,167,1035,105,91,67,41,16,10,3,0,333,1685
M,337,337,170,185,180,168,171,142,1016,107,71,62,51,8,10,2,0,311,1664
Sanma,3731,3731,2029,2092,2162,2475,1914,1617,12289,1344,1114,1016,873,540,442,324,33,5686,21706
F,1758,1758,955,1038,1038,1174,916,775,5896,659,563,518,455,288,243,174,17,2917,10571
M,1973,1973,1074,1054,1124,1301,998,842,6393,685,551,498,418,252,199,150,16,2769,11135
Penama,2061,2061,1406,1175,1215,1190,990,888,6864,620,532,429,411,150,141,83,0,2366,11291
F,977,977,663,536,571,599,460,435,3264,306,277,221,205,85,79,53,0,1226,5467
M,1084,1084,743,639,644,591,530,453,3600,314,255,208,206,65,62,30,0,1140,5824
Malampa,2276,2276,1490,1463,1455,1533,1467,1208,8616,945,796,687,523,151,133,67,0,3302,14194
F,1133,1133,729,687,702,722,703,597,4140,466,404,350,313,78,76,37,0,1724,6997
M,1143,1143,761,776,753,811,764,611,4476,479,392,337,210,73,57,30,0,1578,7197
Shefa,4983,4983,2718,3000,2943,2806,2701,2363,16531,2009,1829,1534,1466,1150,1128,829,199,10144,31658
F,2406,2406,1283,1435,1360,1329,1289,1190,7886,964,930,769,778,661,612,469,112,5295,15587
M,2577,2577,1435,1565,1583,1477,1412,1173,8645,1045,899,765,688,489,516,360,87,4849,16071
Tafea,2867,2867,1878,1925,1962,1854,1789,1375,10783,964,796,725,543,267,166,100,0,3561,17211
F,1380,1380,885,946,950,832,821,623,5057,449,383,351,245,135,81,51,0,1695,8132
M,1487,1487,993,979,1012,1022,968,752,5726,515,413,374,298,132,85,49,0,1866,9079
Grand Total,16572,16572,9870,9987,10099,10194,9224,7760,57134,6094,5229,4520,3908,2282,2030,1408,232,25703,99409
